ticker,ann_date
A,2025-02-26
A,2025-06-02
A,2025-08-29
A,2025-12-19
A,2026-02-25
A,2026-05-27
AAPL,2024-08-01
AAPL,2024-11-01
AAPL,2025-01-31
AAPL,2025-05-02
AAPL,2025-08-01
AAPL,2025-10-30
AAPL,2026-01-30
AAPL,2026-05-01
AAPL,2026-07-31
ABBV,2024-08-07
ABBV,2024-11-04
ABBV,2025-05-09
ABBV,2025-08-04
ABBV,2025-10-31
ABBV,2026-02-04
ABBV,2026-02-20
ABBV,2026-05-08
ABBV,2026-08-03
ABNB,2024-08-06
ABNB,2024-11-07
ABNB,2025-02-13
ABNB,2025-05-01
ABNB,2025-08-06
ABNB,2025-11-06
ABNB,2026-02-12
ABNB,2026-05-07
ABNB,2026-08-06
ABT,2024-10-31
ABT,2025-02-21
ABT,2025-10-29
ABT,2026-02-20
ABT,2026-04-29
ABT,2026-07-28
ACGL,2024-08-06
ACGL,2024-11-07
ACGL,2025-02-27
ACGL,2025-05-07
ACGL,2025-07-29
ACGL,2025-11-06
ACGL,2026-02-26
ACGL,2026-05-05
ACGL,2026-07-28
ACN,2024-10-13
ACN,2024-12-19
ACN,2025-03-20
ACN,2025-06-20
ACN,2025-10-10
ACN,2025-12-18
ACN,2026-03-19
ACN,2026-06-18
ADBE,2025-06-25
ADBE,2025-09-24
ADBE,2026-01-15
ADBE,2026-03-25
ADBE,2026-06-15
ADI,2024-08-21
ADI,2024-11-26
ADI,2025-02-19
ADI,2025-05-22
ADI,2025-08-20
ADI,2025-11-25
ADI,2026-02-18
ADI,2026-05-20
ADI,2026-08-19
ADM,2024-11-18
ADM,2025-02-20
ADM,2025-05-06
ADM,2025-08-05
ADM,2025-11-04
ADM,2026-02-17
ADM,2026-05-05
ADM,2026-08-04
ADP,2024-11-01
ADP,2025-01-30
ADP,2025-05-01
ADP,2025-08-06
ADP,2025-10-29
ADP,2026-01-28
ADP,2026-04-30
ADP,2026-08-05
ADSK,2024-09-03
ADSK,2024-12-03
ADSK,2025-03-06
ADSK,2025-05-29
ADSK,2025-09-02
ADSK,2025-11-26
ADSK,2026-03-03
ADSK,2026-05-29
AEE,2024-08-05
AEE,2024-11-07
AEE,2025-02-18
AEE,2025-05-01
AEE,2025-08-04
AEE,2025-11-06
AEE,2026-02-11
AEE,2026-05-08
AEE,2026-07-30
AEP,2024-11-06
AEP,2025-02-13
AEP,2025-05-06
AEP,2025-07-30
AEP,2025-10-29
AEP,2026-02-12
AEP,2026-05-05
AEP,2026-07-30
AES,2025-03-10
AES,2025-05-01
AES,2025-08-01
AES,2025-11-04
AES,2026-03-02
AES,2026-05-05
AES,2026-08-04
AFL,2024-08-01
AFL,2024-11-01
AFL,2025-02-26
AFL,2025-04-30
AFL,2025-08-05
AFL,2025-11-05
AFL,2026-02-25
AFL,2026-05-06
AFL,2026-08-07
AIG,2025-02-13
AIG,2025-05-02
AIG,2025-08-06
AIG,2025-11-04
AIG,2026-02-12
AIG,2026-05-01
AIG,2026-08-06
AIZ,2024-08-08
AIZ,2024-11-05
AIZ,2025-02-11
AIZ,2025-05-08
AIZ,2025-08-07
AIZ,2025-11-06
AIZ,2026-02-19
AIZ,2026-05-07
AIZ,2026-08-04
AJG,2024-10-29
AJG,2025-02-18
AJG,2025-05-02
AJG,2025-11-10
AJG,2026-02-17
AJG,2026-05-07
AJG,2026-08-05
AKAM,2024-08-08
AKAM,2024-11-08
AKAM,2025-02-24
AKAM,2025-05-09
AKAM,2025-08-08
AKAM,2025-11-06
AKAM,2026-02-20
