ticker,session,iv
A,2024-08-01,29.1405
A,2024-08-02,31.7034
A,2024-08-05,34.689
A,2024-08-06,33.7682
A,2024-08-07,33.6588
A,2024-08-08,32.1075
A,2024-08-09,31.2476
A,2024-08-12,30.9015
A,2024-08-13,29.9775
A,2024-08-14,29.0433
A,2024-08-15,27.9532
A,2024-08-16,27.876
A,2024-08-19,26.7438
A,2024-08-20,27.4383
A,2024-08-21,28.0376
A,2024-08-22,24.2519
A,2024-08-23,23.6213
A,2024-08-26,23.8581
A,2024-08-27,23.8474
A,2024-08-28,24.2676
A,2024-08-29,24.1112
A,2024-08-30,23.2425
A,2024-09-03,25.1615
A,2024-09-04,25.5632
A,2024-09-05,25.809
A,2024-09-06,26.7416
A,2024-09-09,26.1846
A,2024-09-10,26.2381
A,2024-09-11,25.5646
A,2024-09-12,27.4118
A,2024-09-13,25.9749
A,2024-09-16,26.1593
A,2024-09-17,23.2135
A,2024-09-18,25.2148
A,2024-09-19,23.392
A,2024-09-20,25.3378
A,2024-09-23,22.1093
A,2024-09-24,24.0829
A,2024-09-25,25.7003
A,2024-09-26,25.1546
A,2024-09-27,24.9522
A,2024-09-30,24.4347
A,2024-10-01,27.444
A,2024-10-02,27.6156
A,2024-10-03,27.2479
A,2024-10-04,27.3743
A,2024-10-07,25.6949
A,2024-10-08,26.4467
A,2024-10-09,26.5995
A,2024-10-10,25.6361
A,2024-10-11,25.9742
A,2024-10-14,26.6294
A,2024-10-15,26.2176
A,2024-10-16,27.6782
A,2024-10-17,29.3917
A,2024-10-18,25.3325
A,2024-10-21,28.141
A,2024-10-22,27.0566
A,2024-10-23,27.3395
A,2024-10-24,29.3215
A,2024-10-25,27.384
A,2024-10-28,27.8411
A,2024-10-29,28.0282
A,2024-10-30,27.1544
A,2024-10-31,28.6666
A,2024-11-01,32.6427
A,2024-11-04,30.5677
A,2024-11-05,28.7208
A,2024-11-06,28.7077
A,2024-11-07,27.9532
A,2024-11-08,28.2504
A,2024-11-11,29.8566
A,2024-11-12,27.7229
A,2024-11-13,26.8264
A,2024-11-14,27.6649
A,2024-11-15,28.6331
A,2024-11-18,26.886
A,2024-11-19,26.8573
A,2024-11-20,28.5748
A,2024-11-21,27.7194
A,2024-11-22,28.6157
A,2024-11-25,28.907
A,2024-11-26,23.9305
A,2024-11-27,25.5955
A,2024-11-29,26.6165
A,2024-12-02,26.8716
A,2024-12-03,26.1113
A,2024-12-04,27.3961
A,2024-12-05,25.63
A,2024-12-06,25.8466
A,2024-12-09,27.7887
A,2024-12-10,25.9706
A,2024-12-11,27.4655
A,2024-12-12,26.3039
A,2024-12-13,26.2956
A,2024-12-16,26.5194
A,2024-12-17,27.8937
A,2024-12-18,29.3874
A,2024-12-19,28.5515
A,2024-12-20,26.9592
A,2024-12-23,28.1498
A,2024-12-24,26.8779
A,2024-12-26,27.5089
A,2024-12-27,25.5829
A,2024-12-30,28.4618
A,2024-12-31,26.3877
A,2025-01-02,25.8176
A,2025-01-03,27.3299
A,2025-01-06,28.1743
A,2025-01-07,27.9226
A,2025-01-08,27.9733
A,2025-01-10,27.774
A,2025-01-13,26.2328
A,2025-01-14,26.9888
A,2025-01-15,27.365
A,2025-01-16,27.3475
A,2025-01-17,26.2446
A,2025-01-21,23.7358
A,2025-01-22,26.2642
A,2025-01-23,24.5684
A,2025-01-24,26.4238
