ticker,session,iv90,iv100,iv110,skew
A,2024-08-01,30.961,29.9811,29.8065,1.1544999999999987
A,2024-08-02,35.4583,32.0032,31.4289,4.0294000000000025
A,2024-08-05,45.916,38.5603,35.2138,10.702199999999998
A,2024-08-06,35.5464,35.7737,33.9703,1.5760999999999967
A,2024-08-07,38.3565,35.7221,34.7024,3.6540999999999997
A,2024-08-08,36.8838,34.2089,33.448,3.4358000000000004
A,2024-08-09,37.3338,33.706,33.1229,4.210899999999995
A,2024-08-12,37.1897,33.5533,32.6768,4.512900000000002
A,2024-08-13,36.4025,32.7127,32.0669,4.335600000000007
A,2024-08-14,37.6122,32.4728,27.1663,10.445900000000002
A,2024-08-15,35.1992,31.3556,31.5003,3.6988999999999983
A,2024-08-16,34.7317,31.6447,30.7843,3.9473999999999947
A,2024-08-19,33.3216,30.2648,29.2244,4.097199999999997
A,2024-08-20,33.706,31.003,29.778,3.9280000000000044
A,2024-08-21,35.6809,33.087,32.4527,3.228200000000001
A,2024-08-22,24.7575,22.6024,21.925,2.8324999999999996
A,2024-08-23,25.067,21.1691,21.5863,3.480699999999999
A,2024-08-26,24.196,21.4969,21.1785,3.017500000000002
A,2024-08-27,24.7126,21.3884,22.5793,2.1332999999999984
A,2024-08-28,25.9115,22.326,21.2404,4.671099999999999
A,2024-08-29,25.0046,21.832,21.3348,3.6697999999999986
A,2024-08-30,24.0891,20.226,20.412,3.6770999999999994
A,2024-09-03,27.776,23.4349,21.6908,6.0852
A,2024-09-04,27.7316,24.0184,23.6129,4.1187000000000005
A,2024-09-05,27.9368,24.1227,22.89,5.046800000000001
A,2024-09-06,28.9557,25.1364,23.6996,5.2561
A,2024-09-09,28.1309,23.8451,23.0924,5.038499999999999
A,2024-09-10,30.5001,23.761,22.9521,7.547999999999998
A,2024-09-11,27.9823,22.6651,22.3325,5.649799999999999
A,2024-09-12,28.2261,23.3085,22.0663,6.159800000000001
A,2024-09-13,27.834,22.6176,22.429,5.405000000000001
A,2024-09-16,27.3947,22.1875,21.5878,5.806899999999999
A,2024-09-17,27.7263,23.2747,22.2439,5.482399999999998
A,2024-09-18,27.2737,21.0485,21.9226,5.351100000000002
A,2024-09-19,26.2485,20.8324,20.9963,5.252199999999998
A,2024-09-20,26.2098,22.3736,21.1538,5.056000000000001
A,2024-09-23,26.7772,21.2193,20.1005,6.6767
A,2024-09-24,26.005,21.6685,20.1166,5.888400000000001
A,2024-09-25,27.7848,21.9455,22.2926,5.4922
A,2024-09-26,28.6421,21.8044,24.1791,4.463000000000001
A,2024-09-27,29.9602,25.2685,23.3983,6.561900000000001
A,2024-09-30,27.6511,21.6305,22.0405,5.610599999999998
A,2024-10-01,28.5218,26.3022,22.6504,5.871399999999998
A,2024-10-02,29.9331,22.227,23.1209,6.812200000000001
A,2024-10-03,30.599,25.583,25.1426,5.456399999999999
A,2024-10-04,29.5738,25.1866,24.5509,5.0229
A,2024-10-07,28.2855,28.2499,27.2596,1.0259
A,2024-10-08,30.245,23.2831,25.1003,5.1447
A,2024-10-09,30.7303,25.1957,25.007,5.723299999999998
A,2024-10-10,27.3244,26.8297,24.6975,2.626899999999999
A,2024-10-11,32.9063,26.4874,24.7049,8.201400000000003
A,2024-10-14,29.945,25.0664,23.7045,6.240500000000001
A,2024-10-15,29.1039,25.0705,24.2673,4.836600000000001
A,2024-10-16,31.6054,25.3874,25.1868,6.418599999999998
A,2024-10-17,31.1978,26.4259,24.66,6.537800000000001
A,2024-10-18,30.3616,25.6932,24.4493,5.912299999999998
